21:33:31  |  Core  |  Warning  |  Widget property 'WordWrap' not found [Game.layout]  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Widget.cpp  |  1178
21:33:31  |  Core  |  Warning  |  Widget property 'ReadOnly' not found [Game.layout]  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Widget.cpp  |  1178
21:33:31  |  Core  |  Warning  |  Widget property 'MultiLine' not found [Game.layout]  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Widget.cpp  |  1178
21:33:31  |  Core  |  Warning  |  Widget property 'WordWrap' not found [Game.layout]  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Widget.cpp  |  1178
22:05:14  |  Core  |  Info  |  * Shutdown: Gui  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Gui.cpp  |  147
22:05:14  |  Core  |  Info  |  * Shutdown: PointerManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  85
22:05:14  |  Core  |  Info  |  PointerManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  101
22:05:14  |  Core  |  Info  |  * Shutdown: InputManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_InputManager.cpp  |  85
22:05:14  |  Core  |  Info  |  InputManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_InputManager.cpp  |  90
22:05:14  |  Core  |  Info  |  * Shutdown: SkinManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  68
22:05:14  |  Core  |  Info  |  SkinManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  73
22:05:14  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  76
22:05:14  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  96
22:05:14  |  Core  |  Info  |  * Shutdown: LayerManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  64
22:05:14  |  Core  |  Info  |  destroy layer 'Back'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
22:05:14  |  Core  |  Info  |  destroy layer 'Overlapped'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
22:05:14  |  Core  |  Info  |  destroy layer 'Main'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
22:05:14  |  Core  |  Info  |  destroy layer 'Popup'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
22:05:14  |  Core  |  Info  |  destroy layer 'ToolTip'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
22:05:14  |  Core  |  Info  |  destroy layer 'Pointer'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
22:05:14  |  Core  |  Info  |  LayerManager successfully shutdown  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  75
